"GEO_ID","NAME","T03004_001N","POPGROUP","POPGROUP_LABEL","T03004_002N","T03004_003N","T03004_004N","T03004_005N","T03004_006N","T03004_007N","T03004_008N","T03004_009N",
"Geography","Geographic Area Name","!!Total:","Race/Ethnic Group","Population Groups","!!Total:!!Family households:","!!Total:!!Family households:!!Married couple family","!!Total:!!Family households:!!Other family:","!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","!!Total:!!Nonfamily households:","!!Total:!!Nonfamily households:!!Householder living alone","!!Total:!!Nonfamily households:!!Householder not living alone",
"0100000US","United States","1227278","3854","Filipino alone or in any combination","896395","636647","259748","77485","182263","330883","229541","101342",
"0100000US","United States","46799","3855","Indonesian alone or in any combination","30935","23310","7625","2479","5146","15864","10865","4999",
"0100000US","United States","68564","3856","Laotian alone or in any combination","52385","31932","20453","7725","12728","16179","10807","5372",
"0100000US","United States","14167","3857","Malaysian alone or in any combination","8392","6595","1797","559","1238","5775","3905","1870",
"0100000US","United States","5488","3858","Mien alone or in any combination","4476","2402","2074","792","1282","1012","621","391",
"0100000US","United States","4399","3859","Singaporean alone or in any combination","2341","1914","427","116","311","2058","1458","600",
"0100000US","United States","90018","3860","Thai alone or in any combination","57020","37630","19390","5711","13679","32998","22788","10210",
"0100000US","United States","656142","3861","Vietnamese alone or in any combination","508594","365081","143513","51526","91987","147548","102251","45297",
"0100000US","United States","243411","3864","Other Asian alone or in any combination","153493","105538","47955","19417","28538","89918","66959","22959",
"0100000US","United States","238341","3876","Other Asian alone or in any combination, not specified","150010","102998","47012","19052","27960","88331","65798","22533",
"0100000US","United States","106817","3878","Polynesian alone","78665","48502","30163","10337","19826","28152","20131","8021",
"0100000US","United States","60234","3883","Native Hawaiian alone","41202","24897","16305","5779","10526","19032","13896","5136",
"0100000US","United States","32278","3886","Samoan alone","25686","15631","10055","3334","6721","6592","4615","1977",
"0100000US","United States","10141","3888","Tongan alone","8744","6033","2711","894","1817","1397","909","488",
"0100000US","United States","48627","3894","Micronesian alone","38741","23490","15251","5930","9321","9886","6636","3250",
"0100000US","United States","22636","3896","Chamorro alone","16848","11086","5762","2023","3739","5788","3966","1822",
"0100000US","United States","2004","3897","Chuukese alone","1830","950","880","256","624","174","110","64",
"0100000US","United States","2933","3898","Guamanian alone","1954","1197","757","302","455","979","674","305",
"0100000US","United States","7920","3901","Marshallese alone","7159","4066","3093","1575","1518","761","461","300",
"0100000US","United States","2212","3904","Palauan alone","1606","890","716","228","488","606","415","191",
"0100000US","United States","8141","3908","Other Micronesian alone","7084","3955","3129","1185","1944","1057","664","393",
"0100000US","United States","11139","3911","Fijian alone","9138","6668","2470","904","1566","2001","1514","487",
"0100000US","United States","14473","3918","Other Native Hawaiian and Other Pacific Islander alone, not specified","9725","5467","4258","1495","2763","4748","3475","1273",
"0100000US","United States","250447","3920","Polynesian alone or in any combination","178388","112103","66285","21236","45049","72059","50184","21875",
"0100000US","United States","1921","3924","Maori alone or in any combination","1336","1006","330","128","202","585","369","216",
"0100000US","United States","184036","3925","Native Hawaiian alone or in any combination","127608","80362","47246","15137","32109","56428","39643","16785",
"0100000US","United States","55344","3928","Samoan alone or in any combination","41110","24698","16412","5274","11138","14234","9840","4394",
"0100000US","United States","2014","3929","Tahitian alone or in any combination","1389","944","445","110","335","625","415","210",
"0100000US","United States","14471","3930","Tongan alone or in any combination","11965","8095","3870","1221","2649","2506","1592","914",
"0100000US","United States","2807","3934","Other Polynesian alone or in any combination","1785","1118","667","182","485","1022","729","293",
"0100000US","United States","71186","3936","Micronesian alone or in any combination","53330","32819","20511","7530","12981","17856","11937","5919",
"0100000US","United States","40423","3938","Chamorro alone or in any combination","28316","18495","9821","3277","6544","12107","8237","3870",
"0100000US","United States","2259","3939","Chuukese alone or in any combination","2005","1048","957","281","676","254","154","100",
"0100000US","United States","6288","3940","Guamanian alone or in any combination","4167","2680","1487","538","949","2121","1421","700",
"0100000US","United States","8722","3943","Marshallese alone or in any combination","7757","4410","3347","1670","1677","965","587","378",
"0100000US","United States","3075","3946","Palauan alone or in any combination","2201","1254","947","292","655","874","565","309",
"0100000US","United States","8936","3950","Other Micronesian alone or in any combination","7637","4264","3373","1268","2105","1299","800","499",
"0100000US","United States","15719","3953","Fijian alone or in any combination","12531","9092","3439","1188","2251","3188","2351","837",
"0100000US","United States","81120","3960","Other Native Hawaiian and Other Pacific Islander alone or in any combination, not specified","53700","31271","22429","7157","15272","27420","20083","7337",
